IGN,Real Name,Stats
Munchkin,Byeon Sang-beom,"['Viper', '(8) 73%', '193', '1.03', '194.8', '0.95', '130.9', '79%', '0.64', '0.47', '0.08', '0.06', '124', '131', '90', '16', '11']","['Kayo', '(3) 27%', '58', '1.09', '197.7', '1.06', '125.3', '83%', '0.66', '0.69', '0.05', '0.09', '38', '36', '40', '3', '5']"
t3xture,Kim Na-ra,"['Jett', '(6) 55%', '122', '1.15', '241.5', '1.27', '151.8', '69%', '0.88', '0.15', '0.19', '0.14', '107', '84', '18', '23', '17']","['Raze', '(5) 45%', '129', '1.05', '235.0', '1.04', '164.4', '67%', '0.79', '0.22', '0.24', '0.14', '102', '98', '28', '31', '18']"
Meteor,Kim Tae-O,"['Killjoy', '(8) 73%', '170', '1.06', '213.1', '1.19', '147.0', '71%', '0.79', '0.16', '0.09', '0.10', '135', '113', '28', '16', '17']","['Cypher', '(2) 18%', '57', '1.20', '239.0', '1.28', '148.0', '75%', '0.88', '0.23', '0.14', '0.05', '50', '39', '13', '8', '3']","['Yoru', '(1) 9%', '24', '1.46', '327.0', '1.65', '205.9', '71%', '1.17', '0.21', '0.21', '0.17', '28', '17', '5', '5', '4']"
Karon,Kim Won-tae,"['Omen', '(6) 55%', '132', '1.00', '192.0', '1.02', '119.9', '78%', '0.70', '0.45', '0.07', '0.09', '92', '90', '59', '9', '12']","['Brimstone', '(2) 18%', '57', '1.28', '239.0', '1.35', '153.3', '75%', '0.88', '0.37', '0.07', '0.07', '50', '37', '21', '4', '4']","['Viper', '(2) 18%', '38', '0.82', '163.0', '0.85', '102.4', '66%', '0.58', '0.21', '0.13', '0.00', '22', '26', '8', '5', '0']"
BuZz,Yu Byung-chul,"['Jett', '(9) 56%', '176', '0.89', '208.0', '0.98', '133.7', '66%', '0.73', '0.14', '0.19', '0.20', '129', '132', '24', '34', '35']","['Raze', '(4) 25%', '88', '1.42', '324.0', '1.54', '199.5', '74%', '1.14', '0.10', '0.24', '0.14', '100', '65', '9', '21', '12']","['Neon', '(3) 19%', '72', '0.91', '226.3', '0.90', '148.1', '63%', '0.74', '0.29', '0.17', '0.24', '53', '59', '21', '12', '17']"
MaKo,Kim Myeong-gwan,"['Omen', '(12) 75%', '241', '1.08', '198.3', '1.05', '130.6', '76%', '0.68', '0.42', '0.06', '0.07', '165', '157', '101', '14', '17']","['Brimstone', '(2) 13%', '53', '0.71', '143.5', '0.62', '107.0', '68%', '0.45', '0.36', '0.02', '0.13', '24', '39', '19', '1', '7']","['Viper', '(2) 13%', '42', '1.00', '220.0', '0.88', '145.0', '74%', '0.71', '0.40', '0.07', '0.12', '30', '34', '17', '3', '5']"
BeYN,Kang Ha-bin,"['Sova', '(11) 69%', '222', '0.83', '159.2', '0.79', '105.6', '69%', '0.58', '0.24', '0.05', '0.11', '128', '163', '54', '11', '25']","['Fade', '(5) 31%', '114', '0.96', '185.2', '1.04', '121.0', '75%', '0.65', '0.29', '0.04', '0.08', '74', '71', '33', '4', '9']"
Foxy9,Jung Jae-sung,"['Breach', '(6) 38%', '127', '0.91', '169.5', '0.82', '108.3', '70%', '0.60', '0.43', '0.06', '0.06', '76', '93', '55', '7', '8']","['Kayo', '(5) 31%', '102', '1.06', '207.6', '1.03', '133.8', '76%', '0.68', '0.52', '0.03', '0.05', '69', '67', '53', '3', '5']","['Gekko', '(3) 19%', '72', '0.76', '164.7', '0.79', '104.8', '63%', '0.61', '0.28', '0.08', '0.14', '44', '56', '20', '6', '10']"
Flashback,Cho Min-hyuk,"['Cypher', '(9) 56%', '180', '1.08', '212.1', '1.18', '141.9', '77%', '0.79', '0.21', '0.13', '0.05', '142', '120', '38', '24', '9']","['Viper', '(4) 25%', '88', '1.11', '195.5', '1.26', '126.1', '78%', '0.72', '0.33', '0.05', '0.03', '63', '50', '29', '4', '3']","['Killjoy', '(2) 13%', '42', '0.74', '169.0', '0.71', '114.6', '57%', '0.60', '0.19', '0.00', '0.12', '25', '35', '8', '0', '5']"
Jinggg,Wang Jing Jie,"['Raze', '(4) 57%', '81', '1.01', '242.8', '1.02', '153.8', '68%', '0.77', '0.27', '0.15', '0.22', '62', '61', '22', '12', '18']","['Sage', '(2) 29%', '37', '0.99', '173.5', '0.92', '117.4', '76%', '0.62', '0.51', '0.05', '0.16', '23', '25', '19', '2', '6']","['Neon', '(1) 14%', '22', '0.41', '150.0', '0.43', '109.5', '59%', '0.41', '0.36', '0.14', '0.36', '9', '21', '8', '3', '8']"
